,Day_Number,World,Job,Points,Rank,Name
0,8,carbuncle,CRP,2000000,NaN,림셔벗
1,8,carbuncle,CRP,1347637,NaN,어빈
2,8,carbuncle,CRP,1282385,NaN,건하
3,8,carbuncle,CRP,1254228,NaN,진지한죠스바
4,8,carbuncle,CRP,1113176,NaN,슈퍼잡초
5,8,carbuncle,CRP,994934,NaN,카르밀라
6,8,carbuncle,CRP,955645,NaN,과꽃
7,8,carbuncle,CRP,955274,NaN,윤새강
8,8,carbuncle,CRP,943712,NaN,챠티
9,8,carbuncle,CRP,928840,NaN,하양이잇
10,8,carbuncle,CRP,864733,NaN,레아메
11,8,carbuncle,CRP,820358,NaN,Roze
12,8,carbuncle,CRP,813566,NaN,엘라헤'
13,8,carbuncle,CRP,769413,NaN,꼬기
14,8,carbuncle,CRP,551347,NaN,클릿클릿
15,8,carbuncle,CRP,532258,NaN,우유앙팡
16,8,carbuncle,CRP,503983,NaN,키아리
17,8,carbuncle,CRP,422736,NaN,강민
18,8,carbuncle,CRP,403093,NaN,장애물
19,8,carbuncle,CRP,397185,NaN,붉은달
20,8,carbuncle,CRP,333802,NaN,니니아
21,8,carbuncle,CRP,318157,NaN,밥돌이
22,8,carbuncle,CRP,286922,NaN,메가실드
23,8,carbuncle,CRP,258888,NaN,버나미
24,8,carbuncle,CRP,253194,NaN,요정학입문
25,8,carbuncle,CRP,212688,NaN,님이못해서그래요
26,8,carbuncle,CRP,207829,NaN,박도혜
27,8,carbuncle,CRP,198216,NaN,호리애
28,8,carbuncle,CRP,161454,NaN,메핌
29,8,carbuncle,CRP,136845,NaN,아레인
30,8,carbuncle,CRP,117166,NaN,빙둔
31,8,carbuncle,CRP,110793,NaN,회오리감자
32,8,carbuncle,CRP,107726,NaN,야생의불곰
33,8,carbuncle,CRP,94919,NaN,타프
34,8,carbuncle,CRP,94404,NaN,엘가난
35,8,carbuncle,CRP,90379,NaN,제레미드쉬펠
36,8,carbuncle,CRP,84361,NaN,뚜비둡
37,8,carbuncle,CRP,83075,NaN,티그리스
38,8,carbuncle,CRP,79082,NaN,성직자
39,8,carbuncle,CRP,70825,NaN,하쿠온
40,8,carbuncle,CRP,69743,NaN,Rubia
41,8,carbuncle,CRP,68997,NaN,카타크
42,8,carbuncle,CRP,62953,NaN,곱하기
43,8,carbuncle,CRP,59242,NaN,두운
44,8,carbuncle,CRP,58927,NaN,알데바란
45,8,carbuncle,CRP,57361,NaN,렘피르
46,8,carbuncle,CRP,53871,NaN,신은삼
47,8,carbuncle,CRP,50996,NaN,탄빵이
48,8,carbuncle,CRP,50488,NaN,리유니엘
49,8,carbuncle,CRP,50244,NaN,공갈공갈
50,8,carbuncle,CRP,43639,NaN,포엘라
51,8,carbuncle,CRP,42913,NaN,세피로트
52,8,carbuncle,CRP,38922,NaN,따뜻한핫초코
53,8,carbuncle,CRP,37280,NaN,톤토리
54,8,carbuncle,CRP,36728,NaN,부겐빌레아
55,8,carbuncle,CRP,34893,NaN,Grahatia
56,8,carbuncle,CRP,31874,NaN,오일파스퇴르
57,8,carbuncle,CRP,31468,NaN,코다
58,8,carbuncle,CRP,29603,NaN,루제로
59,8,carbuncle,CRP,26990,NaN,Mandarin
60,8,carbuncle,CRP,26209,NaN,로우스
61,8,carbuncle,CRP,23874,NaN,스트리비사
62,8,carbuncle,CRP,22620,NaN,싹수
63,8,carbuncle,CRP,20909,NaN,아르샤빈
64,8,carbuncle,CRP,20190,NaN,영업부장
65,8,carbuncle,CRP,19560,NaN,Ding
66,8,carbuncle,CRP,18423,NaN,라니'
67,8,carbuncle,CRP,18312,NaN,단해
68,8,carbuncle,CRP,16755,NaN,테이르
69,8,carbuncle,CRP,16560,NaN,날뛰는사자
70,8,carbuncle,CRP,16321,NaN,북극곰살리기
71,8,carbuncle,CRP,15740,NaN,든세
72,8,carbuncle,CRP,15433,NaN,빛의동생
73,8,carbuncle,CRP,15193,NaN,스케치북
74,8,carbuncle,CRP,15120,NaN,녹스
75,8,carbuncle,CRP,14850,NaN,체아르
76,8,carbuncle,CRP,14566,NaN,폭주기관차
