,Day_Number,World,Job,Points,Rank,Name
162,1,Chocobo,LTW,83539,1,
163,1,Chocobo,MIN,80639,1,
164,1,Chocobo,WVR,52940,1,
165,1,Coeurl,ALC,41106,1,
166,1,Coeurl,ARM,105028,1,
167,1,Coeurl,BSM,114771,1,
168,1,Coeurl,BTN,57288,1,
169,1,Coeurl,CRP,115388,1,
170,1,Coeurl,CUL,36629,1,
171,1,Coeurl,FSH,117077,1,
172,1,Coeurl,GSM,100735,1,
173,1,Coeurl,LTW,35517,1,
174,1,Coeurl,MIN,127006,1,
175,1,Coeurl,WVR,26134,1,
176,1,Diabolos,ALC,19268,1,
177,1,Diabolos,ARM,19880,1,
178,1,Diabolos,BSM,48654,1,
179,1,Diabolos,BTN,39277,1,
180,1,Diabolos,CRP,15481,1,
181,1,Diabolos,CUL,35610,1,
182,1,Diabolos,FSH,102366,1,
183,1,Diabolos,GSM,29573,1,
184,1,Diabolos,LTW,27725,1,
185,1,Diabolos,MIN,87983,1,
186,1,Diabolos,WVR,42710,1,
187,1,Durandal,ALC,5915,1,
188,1,Durandal,ARM,211247,1,
189,1,Durandal,BSM,77519,1,
190,1,Durandal,BTN,77552,1,
191,1,Durandal,CRP,160901,1,
192,1,Durandal,CUL,14883,1,
193,1,Durandal,FSH,60623,1,
194,1,Durandal,GSM,12795,1,
195,1,Durandal,LTW,53037,1,
196,1,Durandal,MIN,68325,1,
197,1,Durandal,WVR,28228,1,
198,1,Excalibur,ALC,66901,1,
199,1,Excalibur,ARM,52164,1,
200,1,Excalibur,BSM,42956,1,
201,1,Excalibur,BTN,78901,1,
202,1,Excalibur,CRP,135155,1,
203,1,Excalibur,CUL,69656,1,
204,1,Excalibur,FSH,113360,1,
205,1,Excalibur,GSM,48956,1,
206,1,Excalibur,LTW,153794,1,
207,1,Excalibur,MIN,50657,1,
208,1,Excalibur,WVR,38675,1,
209,1,Exodus,ALC,104045,1,
210,1,Exodus,ARM,48838,1,
211,1,Exodus,BSM,40949,1,
212,1,Exodus,BTN,60345,1,
213,1,Exodus,CRP,68343,1,
214,1,Exodus,CUL,100677,1,
215,1,Exodus,FSH,252522,1,
216,1,Exodus,GSM,121773,1,
217,1,Exodus,LTW,63116,1,
218,1,Exodus,MIN,70588,1,
219,1,Exodus,WVR,142955,1,
220,1,Faerie,ALC,30391,1,
221,1,Faerie,ARM,70739,1,
222,1,Faerie,BSM,83811,1,
223,1,Faerie,BTN,93954,1,
224,1,Faerie,CRP,65777,1,
225,1,Faerie,CUL,88113,1,
226,1,Faerie,FSH,78685,1,
