DC,world,Job,Points,Name
Elemental,Aegis,carpenter,180559,Noname Cat
Elemental,Aegis,carpenter,113001,Fukuji Eads
Elemental,Aegis,carpenter,44714,Kvarfolian Trifolion
Elemental,Aegis,carpenter,36573,Licca Fancy
Elemental,Aegis,carpenter,34424,Sora Sirotennant
Elemental,Aegis,carpenter,29916,Riou Natume
Elemental,Aegis,carpenter,21630,Poly Dent
Elemental,Aegis,carpenter,16785,Retaru Nonno
Elemental,Aegis,carpenter,9979,Hcmeow Kitty
Elemental,Aegis,carpenter,8993,Ninetail Vana'diel
Elemental,Aegis,carpenter,6966,Revea Shairly
Elemental,Aegis,carpenter,6158,Suo Asteriscus
Elemental,Aegis,carpenter,5001,Ange Saxda
Elemental,Aegis,carpenter,4979,Sin Shin
Elemental,Aegis,carpenter,4736,Io Nazun
Elemental,Aegis,carpenter,4223,Nero Aliapoh
Elemental,Aegis,carpenter,3978,Jacksonbird Al'akir
Elemental,Aegis,carpenter,3885,Sie Noir
Elemental,Aegis,carpenter,3674,Gwendolyn Maserati
Elemental,Aegis,carpenter,3568,Titania Shade
Elemental,Aegis,carpenter,3359,Chika Nya
Elemental,Aegis,carpenter,3091,Noel Froid
Elemental,Aegis,carpenter,3024,Monokeros Killcal
Elemental,Aegis,carpenter,3000,Chieshia Sasthi
Elemental,Aegis,carpenter,2989,Fortuna Azur
Elemental,Aegis,carpenter,2880,Miku Noir
Elemental,Aegis,carpenter,2817,Ruy King
Elemental,Aegis,carpenter,2720,Sachi Vincent
Elemental,Aegis,carpenter,2580,Moco Sugar
Elemental,Aegis,carpenter,2541,Omoti Moti
Elemental,Aegis,carpenter,2515,Sania Amituki
Elemental,Aegis,carpenter,2250,Fumino Xiu
Elemental,Aegis,carpenter,2184,Qualle Know
Elemental,Aegis,carpenter,2070,Higuma Warning
Elemental,Aegis,carpenter,2010,Gaul Mitsuki
Elemental,Aegis,carpenter,1920,Leonhart Elric
Elemental,Aegis,carpenter,1800,Orotimaru Chan
Elemental,Aegis,carpenter,1799,Miju Rihm
Elemental,Aegis,carpenter,1765,Alma Atuy
Elemental,Aegis,carpenter,1757,Tea Tughril
Elemental,Aegis,carpenter,1751,Waddle Dee
Elemental,Aegis,carpenter,1740,Lin Metia
Elemental,Aegis,carpenter,1706,Burusu Prime
Elemental,Aegis,carpenter,1635,D'ahlia Tyqi
Elemental,Aegis,carpenter,1590,Nashiro Chord
Elemental,Aegis,carpenter,1528,Soul Blitz
Elemental,Aegis,carpenter,1489,Nine Volt
Elemental,Aegis,carpenter,1411,Kuro Issant
Elemental,Aegis,carpenter,1290,Jasmine Tanaka
Elemental,Aegis,carpenter,1281,Nachtigal Po
Elemental,Aegis,carpenter,1258,Popful Poppy
Elemental,Aegis,carpenter,1239,Rose Tqityou
Elemental,Aegis,carpenter,1215,Amanita Pantherina
Elemental,Aegis,carpenter,1214,Tsumiki Kimitsuka
Elemental,Aegis,carpenter,1200,Miiyan Delphoi
Elemental,Aegis,carpenter,1170,Neco Necco
Elemental,Aegis,carpenter,1161,Chopp Chapp
Elemental,Aegis,carpenter,1073,Sumi Matsuno
Elemental,Aegis,carpenter,1070,Fumi Project
Elemental,Aegis,carpenter,1060,Nao Sun
Elemental,Aegis,carpenter,1040,Ichika Liessfeldt
Elemental,Aegis,carpenter,1024,Kaya Peridot
Elemental,Aegis,carpenter,975,Fieche Rieche
Elemental,Aegis,carpenter,973,Msy Hena
Elemental,Aegis,carpenter,949,Hanns Freed
Elemental,Aegis,carpenter,890,Nyar-c Malha
Elemental,Aegis,carpenter,879,Anemone Gulliver
Elemental,Aegis,carpenter,817,Mana Tori
Elemental,Aegis,carpenter,802,Ciel Sky
Elemental,Aegis,carpenter,770,Fi Wisteria
Elemental,Aegis,carpenter,758,Bunjiee Miruku
Elemental,Aegis,carpenter,739,Marie Pavie
Elemental,Aegis,carpenter,737,Lalabel Bluedaisy
Elemental,Aegis,carpenter,719,Elingi Mushroom
Elemental,Aegis,carpenter,711,Rilke Quartz
Elemental,Aegis,carpenter,709,Honey Lemon
Elemental,Aegis,carpenter,709,Sheep Corner
Elemental,Aegis,carpenter,701,Muchacha Mucha
Elemental,Aegis,carpenter,690,Punipuni Puyopuyo
Elemental,Aegis,carpenter,683,Lycopodium Ziziphus
Elemental,Aegis,carpenter,677,Oota Tencho
Elemental,Aegis,carpenter,660,Edge Burns
Elemental,Aegis,carpenter,660,Gozaru Bushi
Elemental,Aegis,carpenter,660,Vida Oronir
Elemental,Aegis,carpenter,652,Mada Wooo
Elemental,Aegis,carpenter,630,Halo Scarlett
Elemental,Aegis,carpenter,630,Rului Mowo
Elemental,Aegis,carpenter,630,Yulian Nohl
Elemental,Aegis,carpenter,624,Saku Kisaragi
Elemental,Aegis,carpenter,600,Alicia Enneagram
Elemental,Aegis,carpenter,600,Namine Nanami
Elemental,Aegis,carpenter,591,Dachs Skarlet
Elemental,Aegis,carpenter,579,Sentak Ita
Elemental,Aegis,carpenter,570,Chie Orlds
Elemental,Aegis,carpenter,570,Gat' Ito
Elemental,Aegis,carpenter,570,Makkun Strike
Elemental,Aegis,carpenter,550,Isvara Pranidhana
Elemental,Aegis,carpenter,540,Rekka Schwarzer
Elemental,Aegis,carpenter,540,Tsuki Lesa
Elemental,Aegis,carpenter,538,Nanaki Kusunoki
Elemental,Aegis,blacksmith,46640,Kvarfolian Trifolion
Elemental,Aegis,blacksmith,43671,Hoshikawa Subaru
Elemental,Aegis,blacksmith,24433,Eleanor Dana
Elemental,Aegis,blacksmith,14192,Nekorobu Goron
Elemental,Aegis,blacksmith,14145,Dan Cho
Elemental,Aegis,blacksmith,12250,Sin Gari
Elemental,Aegis,blacksmith,10327,Shiro Silver
Elemental,Aegis,blacksmith,8672,Stradivarius Dolphin
Elemental,Aegis,blacksmith,7692,Xxxxx Xxxxx
Elemental,Aegis,blacksmith,6808,Suoh Wolfswift
Elemental,Aegis,blacksmith,4277,Mu Yak
Elemental,Aegis,blacksmith,3983,Mel Enger
Elemental,Aegis,blacksmith,3388,Chicory Nyan
Elemental,Aegis,blacksmith,3209,Qoo Souffle
Elemental,Aegis,blacksmith,3020,Yullin Heartilly
Elemental,Aegis,blacksmith,3018,Nezi Hephaistos
Elemental,Aegis,blacksmith,2991,Monisha Cirrus
Elemental,Aegis,blacksmith,2985,Jacksonbird Al'akir
Elemental,Aegis,blacksmith,2894,Rin Mirror
Elemental,Aegis,blacksmith,2619,Sumi Matsuno
Elemental,Aegis,blacksmith,2221,Fennel Tiger
Elemental,Aegis,blacksmith,2174,Chizuna Jaja
Elemental,Aegis,blacksmith,2103,Ran Tana
Elemental,Aegis,blacksmith,1967,Kate Charis
Elemental,Aegis,blacksmith,1929,Yossy Brewer
Elemental,Aegis,blacksmith,1902,Rina Charat
Elemental,Aegis,blacksmith,1747,Quasar Arthur
Elemental,Aegis,blacksmith,1600,Usa Kiritani
Elemental,Aegis,blacksmith,1580,Kuro Issant
Elemental,Aegis,blacksmith,1558,Buraishin Fenrilsoul
Elemental,Aegis,blacksmith,1495,Alman Aurelia
Elemental,Aegis,blacksmith,1437,Aquamarine March
Elemental,Aegis,blacksmith,1368,Ukyo Otomeyuri
Elemental,Aegis,blacksmith,1341,Aria Himesaki
Elemental,Aegis,blacksmith,1340,Roux Louka
Elemental,Aegis,blacksmith,1332,Momo Sakura
Elemental,Aegis,blacksmith,1330,Nero Aliapoh
Elemental,Aegis,blacksmith,1319,Yukiki Yuki
Elemental,Aegis,blacksmith,1270,Sawa China
Elemental,Aegis,blacksmith,1200,Pastel Potato
Elemental,Aegis,blacksmith,1196,Riel Breilent
Elemental,Aegis,blacksmith,1171,Fumi Leafray
Elemental,Aegis,blacksmith,1170,Caelus Ivy
Elemental,Aegis,blacksmith,1149,Windows Vista
Elemental,Aegis,blacksmith,1080,Clear Sumo
Elemental,Aegis,blacksmith,1050,Somali Vivienne
Elemental,Aegis,blacksmith,1050,Soushi Okita
Elemental,Aegis,blacksmith,1003,Yuriko Saito
Elemental,Aegis,blacksmith,972,Spark Browne
Elemental,Aegis,blacksmith,966,Tan Popo
Elemental,Aegis,blacksmith,901,Issac Ex
Elemental,Aegis,blacksmith,900,Cedia Mori
Elemental,Aegis,blacksmith,840,Mayrin Restanoah
Elemental,Aegis,blacksmith,840,Yukikaze Fairy
Elemental,Aegis,blacksmith,812,Io Nazun
