DC,world,Job,Points,Name
Elemental,Aegis,carpenter,540954,Noname Cat
Elemental,Aegis,carpenter,418707,Sora Sirotennant
Elemental,Aegis,carpenter,395720,Licca Fancy
Elemental,Aegis,carpenter,358993,Fukuji Eads
Elemental,Aegis,carpenter,168367,Riou Natume
Elemental,Aegis,carpenter,165226,Pati Puti
Elemental,Aegis,carpenter,162356,Sin Shin
Elemental,Aegis,carpenter,151731,Poly Dent
Elemental,Aegis,carpenter,134984,Hcmeow Kitty
Elemental,Aegis,carpenter,114132,Ange Saxda
Elemental,Aegis,carpenter,109845,Ninetail Vana'diel
Elemental,Aegis,carpenter,80417,Carry Coco
Elemental,Aegis,carpenter,80147,Kvarfolian Trifolion
Elemental,Aegis,carpenter,71102,Retaru Nonno
Elemental,Aegis,carpenter,58200,Io Nazun
Elemental,Aegis,carpenter,38159,Aoshi Lightbringer
Elemental,Aegis,carpenter,36607,Miiyan Delphoi
Elemental,Aegis,carpenter,26324,Yu Minesima
Elemental,Aegis,carpenter,19481,Noel Froid
Elemental,Aegis,carpenter,19095,Jacksonbird Al'akir
Elemental,Aegis,carpenter,18000,Chieshia Sasthi
Elemental,Aegis,carpenter,17975,Chika Nya
Elemental,Aegis,carpenter,15769,Suo Asteriscus
Elemental,Aegis,carpenter,15408,Sachi Vincent
Elemental,Aegis,carpenter,12724,Ruy King
Elemental,Aegis,carpenter,8652,Gaul Mitsuki
Elemental,Aegis,carpenter,7740,Miku Noir
Elemental,Aegis,carpenter,7379,Fumino Xiu
Elemental,Aegis,carpenter,7253,Nine Volt
Elemental,Aegis,carpenter,7180,Orotimaru Chan
Elemental,Aegis,carpenter,7176,Sie Noir
Elemental,Aegis,carpenter,6966,Revea Shairly
Elemental,Aegis,carpenter,6882,Fortuna Azur
Elemental,Aegis,carpenter,6805,Felix Amber
Elemental,Aegis,carpenter,6793,Ichi Daddy
Elemental,Aegis,carpenter,6737,Gwendolyn Maserati
Elemental,Aegis,carpenter,6388,Renkon Rabbit
Elemental,Aegis,carpenter,6343,Storoh Denman
Elemental,Aegis,carpenter,6200,White Bear
Elemental,Aegis,carpenter,6148,Msy Hena
Elemental,Aegis,carpenter,5856,Titania Shade
Elemental,Aegis,carpenter,5696,Rizi Mutta
Elemental,Aegis,carpenter,5567,Arika Amazah
Elemental,Aegis,carpenter,5306,Kinako Kororo
Elemental,Aegis,carpenter,5280,Hina Kotori
Elemental,Aegis,carpenter,5099,Higuma Warning
Elemental,Aegis,carpenter,5008,Namine Nanami
Elemental,Aegis,carpenter,4852,Rita Laverna
Elemental,Aegis,carpenter,4668,Kaede Kurenai
Elemental,Aegis,carpenter,4223,Nero Aliapoh
Elemental,Aegis,carpenter,4166,Tea Tughril
Elemental,Aegis,carpenter,3992,Rui Mutsuki
Elemental,Aegis,carpenter,3992,Uo Tami
Elemental,Aegis,carpenter,3870,Murasaki Hime
Elemental,Aegis,carpenter,3779,Air Sieben
Elemental,Aegis,carpenter,3756,Anemone Gulliver
Elemental,Aegis,carpenter,3753,Finely Ghana
Elemental,Aegis,carpenter,3736,Freesie Seriola
Elemental,Aegis,carpenter,3553,Toppo Meshappo
Elemental,Aegis,carpenter,3382,Riza White
Elemental,Aegis,carpenter,3357,Mya Mia
Elemental,Aegis,carpenter,3352,Eriko Akanishi
Elemental,Aegis,carpenter,3270,Yukke Bruce
Elemental,Aegis,carpenter,3234,Qualle Know
Elemental,Aegis,carpenter,3024,Monokeros Killcal
Elemental,Aegis,carpenter,2940,Ninne Goudernoux
Elemental,Aegis,carpenter,2937,Jadomont Fouillel
Elemental,Aegis,carpenter,2894,Azuki Goro
Elemental,Aegis,carpenter,2826,Fumi Project
Elemental,Aegis,carpenter,2820,Resua Nanagi
Elemental,Aegis,carpenter,2791,Vivicco Victoria
Elemental,Aegis,carpenter,2756,Nyan On
Elemental,Aegis,carpenter,2715,Pudding Prius
Elemental,Aegis,carpenter,2640,Gozaru Bushi
Elemental,Aegis,carpenter,2595,Chelsea Yummy
Elemental,Aegis,carpenter,2580,Moco Sugar
Elemental,Aegis,carpenter,2578,Miju Rihm
Elemental,Aegis,carpenter,2541,Omoti Moti
Elemental,Aegis,carpenter,2516,Ruruku Ruku
Elemental,Aegis,carpenter,2515,Sania Amituki
Elemental,Aegis,carpenter,2480,Ichika Liessfeldt
Elemental,Aegis,carpenter,2445,Coke Can
Elemental,Aegis,carpenter,2443,Lolobon Terapin
Elemental,Aegis,carpenter,2396,Burusu Prime
Elemental,Aegis,carpenter,2394,Punipuni Puyopuyo
Elemental,Aegis,carpenter,2377,Nachtigal Po
Elemental,Aegis,carpenter,2340,Rului Mowo
Elemental,Aegis,carpenter,2337,Piyo Kichi
Elemental,Aegis,carpenter,2333,Waka Nohana
Elemental,Aegis,carpenter,2329,Kamikaze Soul
Elemental,Aegis,carpenter,2239,Setoka Kiyomi-murcott
Elemental,Aegis,carpenter,2228,Malorhec D'arc
Elemental,Aegis,carpenter,2228,Nyar-c Malha
Elemental,Aegis,carpenter,2222,Lahaina Kaanapali
Elemental,Aegis,carpenter,2220,Reize Recuerdo
Elemental,Aegis,carpenter,2099,Iro Dori
Elemental,Aegis,carpenter,2068,Gouto Holly
Elemental,Aegis,carpenter,2065,Soul Blitz
Elemental,Aegis,carpenter,2058,Chopp Chapp
Elemental,Aegis,carpenter,1997,Lalabel Bluedaisy
Elemental,Aegis,blacksmith,405551,Shiro Silver
Elemental,Aegis,blacksmith,337669,Hoshikawa Subaru
Elemental,Aegis,blacksmith,300528,Eleanor Dana
Elemental,Aegis,blacksmith,248779,Dan Cho
Elemental,Aegis,blacksmith,213361,Honey Lemon
Elemental,Aegis,blacksmith,156726,Kuro Issant
Elemental,Aegis,blacksmith,149572,Xxxxx Xxxxx
Elemental,Aegis,blacksmith,125418,Sin Gari
Elemental,Aegis,blacksmith,119776,Aspen Capen
Elemental,Aegis,blacksmith,108247,Mizuzun Dundamin
Elemental,Aegis,blacksmith,89934,Marl Moon
Elemental,Aegis,blacksmith,83696,Kvarfolian Trifolion
Elemental,Aegis,blacksmith,79351,Ebiko Tasando
Elemental,Aegis,blacksmith,64990,Nezi Hephaistos
Elemental,Aegis,blacksmith,52227,Qoo Souffle
Elemental,Aegis,blacksmith,51365,Fennel Tiger
Elemental,Aegis,blacksmith,50857,Stradivarius Dolphin
Elemental,Aegis,blacksmith,49491,Chizuna Jaja
Elemental,Aegis,blacksmith,45672,Ecah'a Soleil
Elemental,Aegis,blacksmith,38898,Monisha Cirrus
Elemental,Aegis,blacksmith,25699,Chicory Nyan
Elemental,Aegis,blacksmith,25533,Tan Popo
Elemental,Aegis,blacksmith,24761,Felix Amber
Elemental,Aegis,blacksmith,18717,Nekorobu Goron
Elemental,Aegis,blacksmith,18597,Stoy Koop
Elemental,Aegis,blacksmith,17395,Gyano Schneider
Elemental,Aegis,blacksmith,14216,Soushi Okita
Elemental,Aegis,blacksmith,12408,Reala Spica
Elemental,Aegis,blacksmith,12026,Jacksonbird Al'akir
Elemental,Aegis,blacksmith,11175,Suoh Wolfswift
Elemental,Aegis,blacksmith,10376,Mu Yak
Elemental,Aegis,blacksmith,9461,Jade Welfeine
Elemental,Aegis,blacksmith,9120,Aquamarine March
Elemental,Aegis,blacksmith,8981,Momo Sakura
Elemental,Aegis,blacksmith,8469,Shadow Glaive
Elemental,Aegis,blacksmith,7220,Aisya Empress
Elemental,Aegis,blacksmith,7131,Mutsu Tukumo
Elemental,Aegis,blacksmith,6835,Rin Mirror
Elemental,Aegis,blacksmith,6724,Amalthea Imsheep
Elemental,Aegis,blacksmith,6585,Fumi Leafray
Elemental,Aegis,blacksmith,6465,L'ucia Amih
Elemental,Aegis,blacksmith,6301,Yullin Heartilly
Elemental,Aegis,blacksmith,6054,Seina Kaisuri
Elemental,Aegis,blacksmith,5826,Dalitim Salvador
Elemental,Aegis,blacksmith,5749,Ran Tana
Elemental,Aegis,blacksmith,5585,Clear Sumo
Elemental,Aegis,blacksmith,5522,Rina Charat
Elemental,Aegis,blacksmith,5328,Chess Cat
Elemental,Aegis,blacksmith,5177,Ruruku Ruku
Elemental,Aegis,blacksmith,5157,Yossy Brewer
Elemental,Aegis,blacksmith,5024,Yuri White
Elemental,Aegis,blacksmith,4893,Hikaru Yuuki
Elemental,Aegis,blacksmith,4310,Sonne Anir
Elemental,Aegis,blacksmith,3983,Mel Enger
Elemental,Aegis,blacksmith,3978,Sawa China
Elemental,Aegis,blacksmith,3954,Cheg Eins
Elemental,Aegis,blacksmith,3942,Roux Louka
Elemental,Aegis,blacksmith,3865,Frang Moriarty
Elemental,Aegis,blacksmith,3741,Nagi Tsukiyono
Elemental,Aegis,blacksmith,3732,Shall Fields
Elemental,Aegis,blacksmith,3731,Usa Kiritani
Elemental,Aegis,blacksmith,3460,Kage Kura
Elemental,Aegis,blacksmith,3354,Yoru Aoame
Elemental,Aegis,blacksmith,3297,Jadomont Fouillel
Elemental,Aegis,blacksmith,3222,Alman Aurelia
Elemental,Aegis,blacksmith,3219,Sumi Matsuno
Elemental,Aegis,blacksmith,3215,Reinhardt Whitemane
Elemental,Aegis,blacksmith,3190,Noelle Seeker
Elemental,Aegis,blacksmith,2970,Ganzan Swygbyrt
Elemental,Aegis,blacksmith,2937,Fluffy Pancake
Elemental,Aegis,blacksmith,2515,Windows Vista
Elemental,Aegis,blacksmith,2474,Lachesis Knight
Elemental,Aegis,blacksmith,2340,Somali Vivienne
Elemental,Aegis,blacksmith,2217,Y'nero Tia
Elemental,Aegis,blacksmith,2205,Yukiki Yuki
Elemental,Aegis,blacksmith,2147,Kate Charis
Elemental,Aegis,blacksmith,2092,Magutya Bastet
Elemental,Aegis,blacksmith,2086,Salad Maison
Elemental,Aegis,blacksmith,1950,Aria Torakand
Elemental,Aegis,blacksmith,1945,Bakuku Matata
Elemental,Aegis,blacksmith,1942,Lemu Acell
Elemental,Aegis,blacksmith,1932,Sieglinde Shrike
Elemental,Aegis,blacksmith,1910,Ichi Monji
Elemental,Aegis,blacksmith,1880,Zakiel Scipio
Elemental,Aegis,blacksmith,1829,The Rose
Elemental,Aegis,blacksmith,1808,Marvelo Kaj'ik
Elemental,Aegis,blacksmith,1801,Hoshi Don-
Elemental,Aegis,blacksmith,1792,Riel Breilent
Elemental,Aegis,blacksmith,1747,Quasar Arthur
Elemental,Aegis,blacksmith,1730,Pam Don
Elemental,Aegis,blacksmith,1680,Sofia Yunka
Elemental,Aegis,blacksmith,1650,Elrik Lotus
Elemental,Aegis,blacksmith,1638,Chibi Tama
Elemental,Aegis,blacksmith,1612,Petit Petit
Elemental,Aegis,blacksmith,1570,Coco Ichi
Elemental,Aegis,blacksmith,1558,Buraishin Fenrilsoul
Elemental,Aegis,blacksmith,1500,Azel Ahl
Elemental,Aegis,blacksmith,1495,Cedia Mori
Elemental,Aegis,blacksmith,1456,Garrus Vakarian
Elemental,Aegis,blacksmith,1437,Ciel Sky
Elemental,Aegis,armorer,476451,Azuki Kuriyama
Elemental,Aegis,armorer,318113,Kuroku Swei
Elemental,Aegis,armorer,316977,Hanns Freed
Elemental,Aegis,armorer,257933,Bragi Hynett
Elemental,Aegis,armorer,214682,Blackthorn Stir
Elemental,Aegis,armorer,205328,Yuhka Ina
Elemental,Aegis,armorer,171851,Earl Redpants
Elemental,Aegis,armorer,168221,Takana Milkcocoa
Elemental,Aegis,armorer,166964,Kitten Wahrheit
Elemental,Aegis,armorer,144954,Bulo Sylph
Elemental,Aegis,armorer,140015,Shank Althyk
Elemental,Aegis,armorer,117355,Yuki Tsuki
Elemental,Aegis,armorer,105260,Guran Mos
Elemental,Aegis,armorer,75160,Ryoko Kokoro
Elemental,Aegis,armorer,74520,Kvarfolian Trifolion
Elemental,Aegis,armorer,65627,Kd Ager
Elemental,Aegis,armorer,62592,Aliceteed Zycc
Elemental,Aegis,armorer,53526,Yu Minesima
Elemental,Aegis,armorer,44965,Gregory Glover
Elemental,Aegis,armorer,39661,Ansye Remusat
Elemental,Aegis,armorer,34507,Temari Uta
Elemental,Aegis,armorer,29628,Sere Spica
Elemental,Aegis,armorer,23847,Arisa Seraphim
Elemental,Aegis,armorer,23244,Jacksonbird Al'akir
Elemental,Aegis,armorer,17396,Rutile Ruu
Elemental,Aegis,armorer,16734,Renart Retriever
Elemental,Aegis,armorer,15119,Blue Prune
Elemental,Aegis,armorer,13968,Shadow Glaive
Elemental,Aegis,armorer,12055,Yullin Heartilly
Elemental,Aegis,armorer,11923,Shahnaz Arkin
Elemental,Aegis,armorer,11760,Rosa Alfinia
Elemental,Aegis,armorer,11700,Goma Goma
Elemental,Aegis,armorer,11276,Lexar Wienzulf
Elemental,Aegis,armorer,10475,Rera Kamuy
Elemental,Aegis,armorer,9784,Roa Celestia
Elemental,Aegis,armorer,9570,Aina Gekkou
Elemental,Aegis,armorer,9293,Hans Grete
Elemental,Aegis,armorer,8970,Ainna Chon
Elemental,Aegis,armorer,8860,Marimo Akan
Elemental,Aegis,armorer,8516,Bakka Teroyake
Elemental,Aegis,armorer,8331,Selim Bradley
Elemental,Aegis,armorer,8054,Yt Tt
Elemental,Aegis,armorer,8048,Morg Ming
Elemental,Aegis,armorer,7933,Koma Chang
Elemental,Aegis,armorer,7655,Man Hunt
Elemental,Aegis,armorer,7557,Mana Claves
Elemental,Aegis,armorer,7424,Gozen Lunch
Elemental,Aegis,armorer,7322,Riku Ro
Elemental,Aegis,armorer,7192,Spidewort Crown
Elemental,Aegis,armorer,7159,Illumina Cranes
Elemental,Aegis,armorer,7062,Tan Popo
Elemental,Aegis,armorer,6909,Aventa Doll
Elemental,Aegis,armorer,6900,Roc Bouquet
Elemental,Aegis,armorer,6565,Sakurame Mea
Elemental,Aegis,armorer,6546,Amalthea Imsheep
Elemental,Aegis,armorer,6513,Pofufu Pofu
Elemental,Aegis,armorer,6438,Raima Nonoa
Elemental,Aegis,armorer,6316,Emo Runa
Elemental,Aegis,armorer,6031,Torotoro Salmon
Elemental,Aegis,armorer,6006,M'colon Rhuwa
Elemental,Aegis,armorer,5784,Shigure Amaashi
Elemental,Aegis,armorer,5739,Calico Kitten
Elemental,Aegis,armorer,5617,Lord El-melloi
Elemental,Aegis,armorer,5591,Gouto Holly
Elemental,Aegis,armorer,5563,Ham Sakura
Elemental,Aegis,armorer,5538,Mona Dettabro
Elemental,Aegis,armorer,5530,Magur'o Wasabi
Elemental,Aegis,armorer,5178,Lathi Nightbreed
Elemental,Aegis,armorer,5160,Nywawa Fenq
Elemental,Aegis,armorer,5051,Kinugoshi Dofu
Elemental,Aegis,armorer,4981,Sumi Matsuno
Elemental,Aegis,armorer,4947,Nezi Hephaistos
Elemental,Aegis,armorer,4819,Rui Mutsuki
Elemental,Aegis,armorer,4797,Dango Tameliolet
Elemental,Aegis,armorer,4738,Ohayou San
Elemental,Aegis,armorer,4710,Akatuki Sion
Elemental,Aegis,armorer,4646,Sherry Ealdred
Elemental,Aegis,armorer,4605,Shion Mcqueen
Elemental,Aegis,armorer,4574,Ayleth Stark
Elemental,Aegis,armorer,4500,Nakuru Hawk
Elemental,Aegis,armorer,4468,Kurogane Tia
Elemental,Aegis,armorer,4394,Chili Red
Elemental,Aegis,armorer,4277,Seseshi Tughril
Elemental,Aegis,armorer,4222,Schme Tterling
Elemental,Aegis,armorer,4202,Altoplus Cm
Elemental,Aegis,armorer,4194,Lemu Acell
Elemental,Aegis,armorer,4116,Waka April
Elemental,Aegis,armorer,4066,Tessera Sera
Elemental,Aegis,armorer,3993,Rosa Rosso
Elemental,Aegis,armorer,3854,Jeremiah- Gottwald
Elemental,Aegis,armorer,3853,Mog Apo
Elemental,Aegis,armorer,3853,Uo Tami
Elemental,Aegis,armorer,3815,Oxgrand Bullmax
Elemental,Aegis,armorer,3780,Yamato Miller
Elemental,Aegis,armorer,3770,Milbon Ponyoko
Elemental,Aegis,armorer,3750,Fire Flower
Elemental,Aegis,armorer,3658,Take End
Elemental,Aegis,armorer,3606,Boys Absolute
Elemental,Aegis,armorer,3546,Krone Silvia
Elemental,Aegis,armorer,3438,Mine Laves
Elemental,Aegis,goldsmith,518970,Akiti Ar
Elemental,Aegis,goldsmith,504261,Hey Bee
Elemental,Aegis,goldsmith,432768,Kan Sun
Elemental,Aegis,goldsmith,193658,Als Wing
Elemental,Aegis,goldsmith,144287,Five Millimeter
Elemental,Aegis,goldsmith,143678,Hyon Ex
Elemental,Aegis,goldsmith,133821,Hiro Joker
Elemental,Aegis,goldsmith,116876,Arianna Freya
Elemental,Aegis,goldsmith,109833,Chamalog Rei
Elemental,Aegis,goldsmith,108298,Quasar Arthur
Elemental,Aegis,goldsmith,98199,Tukiko Amano
Elemental,Aegis,goldsmith,94029,Mado Sd
Elemental,Aegis,goldsmith,65284,Gavial Noi
Elemental,Aegis,goldsmith,62199,Air Real
Elemental,Aegis,goldsmith,61373,Tama Tomi
Elemental,Aegis,goldsmith,50961,Merst Clover
Elemental,Aegis,goldsmith,50783,Yu Minesima
Elemental,Aegis,goldsmith,48233,Schwalt Wheeler
Elemental,Aegis,goldsmith,37084,Luthier Clarion
Elemental,Aegis,goldsmith,28913,Sentak Ita
Elemental,Aegis,goldsmith,27578,Fiona Animato
Elemental,Aegis,goldsmith,21123,Morse Shepard
Elemental,Aegis,goldsmith,18652,Issac Ex
Elemental,Aegis,goldsmith,16713,Lexington Tatamaya
Elemental,Aegis,goldsmith,16450,Wascha Luminous
Elemental,Aegis,goldsmith,12676,Kvarfolian Trifolion
Elemental,Aegis,goldsmith,12569,Majesty Zero
Elemental,Aegis,goldsmith,12445,Yoru Stark
Elemental,Aegis,goldsmith,11942,Mel Enger
Elemental,Aegis,goldsmith,11082,Storoh Denman
Elemental,Aegis,goldsmith,10905,Hitomi Majyo
Elemental,Aegis,goldsmith,10372,Mairo Lin
Elemental,Aegis,goldsmith,9389,Fyidoaa Titan
Elemental,Aegis,goldsmith,9000,Oa Alba
Elemental,Aegis,goldsmith,8790,Jacksonbird Al'akir
Elemental,Aegis,goldsmith,7714,Neun Nine
Elemental,Aegis,goldsmith,7058,Rui Mutsuki
Elemental,Aegis,goldsmith,7019,Maha Agreian
