DC,world,Job,Points,Name
Elemental,Aegis,carpenter,6435,Fieche Rieche
Elemental,Aegis,carpenter,6343,Storoh Denman
Elemental,Aegis,carpenter,6148,Msy Hena
Elemental,Aegis,carpenter,6120,Freesie Seriola
Elemental,Aegis,carpenter,5834,Shadow Glaive
Elemental,Aegis,carpenter,5696,Rizi Mutta
Elemental,Aegis,carpenter,5674,Air Sieben
Elemental,Aegis,carpenter,5581,Sora Tsukino
Elemental,Aegis,carpenter,5280,Hina Kotori
Elemental,Aegis,carpenter,5280,Murasaki Hime
Elemental,Aegis,carpenter,5198,Riza White
Elemental,Aegis,carpenter,4976,Eriko Akanishi
Elemental,Aegis,carpenter,4891,Chelsea Yummy
Elemental,Aegis,carpenter,4852,Rita Laverna
Elemental,Aegis,carpenter,4675,Issac Ex
Elemental,Aegis,carpenter,4668,Kaede Kurenai
Elemental,Aegis,carpenter,4352,Rului Mowo
Elemental,Aegis,carpenter,4223,Nero Aliapoh
Elemental,Aegis,carpenter,4168,Miju Rihm
Elemental,Aegis,carpenter,3992,Rui Mutsuki
Elemental,Aegis,carpenter,3992,Uo Tami
Elemental,Aegis,carpenter,3924,Punipuni Puyopuyo
Elemental,Aegis,carpenter,3756,Anemone Gulliver
Elemental,Aegis,carpenter,3707,Minua Rune
Elemental,Aegis,carpenter,3695,Semih Lafihna
Elemental,Aegis,carpenter,3553,Toppo Meshappo
Elemental,Aegis,carpenter,3524,Azuki Goro
Elemental,Aegis,carpenter,3380,Makkun Strike
Elemental,Aegis,carpenter,3359,Iro Dori
Elemental,Aegis,carpenter,3357,Mya Mia
Elemental,Aegis,carpenter,3311,Jadomont Fouillel
Elemental,Aegis,carpenter,3289,Ajya Na
Elemental,Aegis,carpenter,3270,Yukke Bruce
Elemental,Aegis,carpenter,3240,Ninne Goudernoux
Elemental,Aegis,carpenter,3234,Qualle Know
Elemental,Aegis,carpenter,3213,Waka Nohana
Elemental,Aegis,carpenter,3069,Kamikaze Soul
Elemental,Aegis,carpenter,3024,Monokeros Killcal
Elemental,Aegis,carpenter,3001,Chiffon Maple
Elemental,Aegis,carpenter,2911,Vivicco Victoria
Elemental,Aegis,carpenter,2910,Deco Voco
Elemental,Aegis,carpenter,2847,Piyo Kichi
Elemental,Aegis,carpenter,2826,Fumi Project
Elemental,Aegis,carpenter,2820,Resua Nanagi
Elemental,Aegis,carpenter,2808,Aki Moto
Elemental,Aegis,carpenter,2804,Reize Recuerdo
Elemental,Aegis,carpenter,2756,Nyan On
Elemental,Aegis,carpenter,2715,Pudding Prius
Elemental,Aegis,carpenter,2712,Fara Falon
Elemental,Aegis,blacksmith,729440,Shiro Silver
Elemental,Aegis,blacksmith,537876,Honey Lemon
Elemental,Aegis,blacksmith,500807,Hoshikawa Subaru
Elemental,Aegis,blacksmith,458870,Eleanor Dana
Elemental,Aegis,blacksmith,438062,Xxxxx Xxxxx
Elemental,Aegis,blacksmith,391268,Dan Cho
Elemental,Aegis,blacksmith,308451,Sin Gari
Elemental,Aegis,blacksmith,227750,Aspen Capen
Elemental,Aegis,blacksmith,203066,Kuro Issant
Elemental,Aegis,blacksmith,172429,Nekorobu Goron
Elemental,Aegis,blacksmith,162274,Ebiko Tasando
Elemental,Aegis,blacksmith,148053,Marl Moon
Elemental,Aegis,blacksmith,146572,Qoo Souffle
Elemental,Aegis,blacksmith,140306,Mizuzun Dundamin
Elemental,Aegis,blacksmith,112017,Fennel Tiger
Elemental,Aegis,blacksmith,106468,Chizuna Jaja
Elemental,Aegis,blacksmith,105340,Kvarfolian Trifolion
Elemental,Aegis,blacksmith,93621,Stradivarius Dolphin
Elemental,Aegis,blacksmith,92217,Nezi Hephaistos
Elemental,Aegis,blacksmith,64016,Tan Popo
Elemental,Aegis,blacksmith,50297,Monisha Cirrus
Elemental,Aegis,blacksmith,49321,Ecah'a Soleil
Elemental,Aegis,blacksmith,37918,Hitomi Majyo
Elemental,Aegis,blacksmith,37207,Pike Qerel
Elemental,Aegis,blacksmith,33256,Chicory Nyan
Elemental,Aegis,blacksmith,24761,Felix Amber
Elemental,Aegis,blacksmith,23309,Gyano Schneider
Elemental,Aegis,blacksmith,21109,Stoy Koop
Elemental,Aegis,blacksmith,20793,Soushi Okita
Elemental,Aegis,blacksmith,18497,Reala Spica
Elemental,Aegis,blacksmith,13780,Jade Welfeine
Elemental,Aegis,blacksmith,13631,Momo Sakura
Elemental,Aegis,blacksmith,12409,Shadow Glaive
Elemental,Aegis,blacksmith,12224,Aquamarine March
Elemental,Aegis,blacksmith,12085,Seina Kaisuri
Elemental,Aegis,blacksmith,12026,Jacksonbird Al'akir
Elemental,Aegis,blacksmith,11676,Dalitim Salvador
Elemental,Aegis,blacksmith,11341,Amalthea Imsheep
Elemental,Aegis,blacksmith,11175,Suoh Wolfswift
Elemental,Aegis,blacksmith,10701,Mutsu Tukumo
Elemental,Aegis,blacksmith,10513,Hikaru Yuuki
Elemental,Aegis,blacksmith,10376,Mu Yak
Elemental,Aegis,blacksmith,9315,Ruruku Ruku
Elemental,Aegis,blacksmith,8750,Aisya Empress
Elemental,Aegis,blacksmith,8348,Unagi Fry
Elemental,Aegis,blacksmith,8106,Yossy Brewer
Elemental,Aegis,blacksmith,7488,Clear Sumo
Elemental,Aegis,blacksmith,6835,Rin Mirror
Elemental,Aegis,blacksmith,6794,Fumi Leafray
Elemental,Aegis,blacksmith,6465,L'ucia Amih
Elemental,Aegis,blacksmith,6392,Yuri White
Elemental,Aegis,blacksmith,6334,Ran Tana
Elemental,Aegis,blacksmith,6301,Yullin Heartilly
Elemental,Aegis,blacksmith,5928,Sonne Anir
Elemental,Aegis,blacksmith,5732,Rina Charat
Elemental,Aegis,blacksmith,5384,Frang Moriarty
Elemental,Aegis,blacksmith,5328,Chess Cat
Elemental,Aegis,blacksmith,5273,Sigure Kuroba
Elemental,Aegis,blacksmith,5265,Noelle Seeker
Elemental,Aegis,blacksmith,5105,Storoh Denman
Elemental,Aegis,blacksmith,5100,Usa Kiritani
Elemental,Aegis,blacksmith,4488,Sawa China
Elemental,Aegis,blacksmith,4460,Somali Vivienne
Elemental,Aegis,blacksmith,4369,Yukiki Yuki
Elemental,Aegis,blacksmith,4270,Ryo Scarlet
Elemental,Aegis,blacksmith,4263,Echico Omega
Elemental,Aegis,blacksmith,4017,Reinhardt Whitemane
Elemental,Aegis,blacksmith,3983,Mel Enger
Elemental,Aegis,blacksmith,3965,Alman Aurelia
Elemental,Aegis,blacksmith,3954,Cheg Eins
Elemental,Aegis,blacksmith,3954,Yoru Aoame
Elemental,Aegis,blacksmith,3942,Roux Louka
Elemental,Aegis,blacksmith,3867,Jadomont Fouillel
Elemental,Aegis,blacksmith,3850,Kage Kura
Elemental,Aegis,blacksmith,3741,Nagi Tsukiyono
Elemental,Aegis,blacksmith,3732,Shall Fields
Elemental,Aegis,blacksmith,3706,Windows Vista
Elemental,Aegis,blacksmith,3489,Jasmine Tanaka
Elemental,Aegis,blacksmith,3452,Lachesis Knight
Elemental,Aegis,blacksmith,3450,Aria Torakand
Elemental,Aegis,blacksmith,3219,Sumi Matsuno
Elemental,Aegis,blacksmith,3180,Sora Amane'
Elemental,Aegis,blacksmith,2970,Ganzan Swygbyrt
Elemental,Aegis,blacksmith,2937,Fluffy Pancake
Elemental,Aegis,blacksmith,2776,Sia Discordia
Elemental,Aegis,blacksmith,2670,Felty Elicshell
Elemental,Aegis,blacksmith,2592,Makio Pieris
Elemental,Aegis,blacksmith,2563,Ageha Muramasa
Elemental,Aegis,blacksmith,2399,Pesama Hasebe
Elemental,Aegis,blacksmith,2326,Bruce Kent
Elemental,Aegis,blacksmith,2304,Nyamuh Mihgo
Elemental,Aegis,blacksmith,2303,Issac Ex
Elemental,Aegis,blacksmith,2282,Ariel Marques
Elemental,Aegis,blacksmith,2217,Y'nero Tia
Elemental,Aegis,blacksmith,2157,Sisto Volare
Elemental,Aegis,blacksmith,2147,Kate Charis
Elemental,Aegis,blacksmith,2092,Magutya Bastet
Elemental,Aegis,blacksmith,2086,Salad Maison
Elemental,Aegis,blacksmith,2055,Kyuen Tsujigiri
Elemental,Aegis,blacksmith,1945,Bakuku Matata
Elemental,Aegis,armorer,679951,Azuki Kuriyama
Elemental,Aegis,armorer,467868,Earl Redpants
Elemental,Aegis,armorer,444953,Kuroku Swei
Elemental,Aegis,armorer,403058,Yuhka Ina
Elemental,Aegis,armorer,370366,Takana Milkcocoa
Elemental,Aegis,armorer,361506,Hanns Freed
Elemental,Aegis,armorer,352827,Bragi Hynett
Elemental,Aegis,armorer,322308,Kitten Wahrheit
Elemental,Aegis,armorer,294615,Guran Mos
Elemental,Aegis,armorer,267134,Blackthorn Stir
Elemental,Aegis,armorer,263146,Shank Althyk
Elemental,Aegis,armorer,221087,Aliceteed Zycc
Elemental,Aegis,armorer,213861,Ansye Remusat
Elemental,Aegis,armorer,201052,Bulo Sylph
Elemental,Aegis,armorer,190067,Kd Ager
Elemental,Aegis,armorer,117355,Yuki Tsuki
Elemental,Aegis,armorer,75865,Kvarfolian Trifolion
Elemental,Aegis,armorer,75160,Ryoko Kokoro
Elemental,Aegis,armorer,56277,Yu Minesima
Elemental,Aegis,armorer,50226,Renart Retriever
Elemental,Aegis,armorer,44965,Gregory Glover
Elemental,Aegis,armorer,34507,Temari Uta
Elemental,Aegis,armorer,33408,Sere Spica
Elemental,Aegis,armorer,32093,Shahnaz Arkin
Elemental,Aegis,armorer,23847,Arisa Seraphim
Elemental,Aegis,armorer,23244,Jacksonbird Al'akir
Elemental,Aegis,armorer,22350,Goma Goma
Elemental,Aegis,armorer,17396,Rutile Ruu
Elemental,Aegis,armorer,15258,Lexar Wienzulf
Elemental,Aegis,armorer,15119,Blue Prune
Elemental,Aegis,armorer,14618,Roc Bouquet
Elemental,Aegis,armorer,13968,Shadow Glaive
Elemental,Aegis,armorer,13578,Nagi Morganite
Elemental,Aegis,armorer,13290,Riku Ro
Elemental,Aegis,armorer,12681,Ainna Chon
Elemental,Aegis,armorer,12055,Yullin Heartilly
Elemental,Aegis,armorer,12037,Illumina Cranes
Elemental,Aegis,armorer,11760,Rosa Alfinia
Elemental,Aegis,armorer,11224,Roa Celestia
Elemental,Aegis,armorer,11145,Mog Apo
Elemental,Aegis,armorer,11088,Hans Grete
Elemental,Aegis,armorer,10938,Morg Ming
Elemental,Aegis,armorer,10878,Amalthea Imsheep
Elemental,Aegis,armorer,10475,Rera Kamuy
Elemental,Aegis,armorer,9570,Aina Gekkou
Elemental,Aegis,armorer,9471,Selim Bradley
Elemental,Aegis,armorer,9384,Unagi Fry
Elemental,Aegis,armorer,9192,Yt Tt
Elemental,Aegis,armorer,9150,Moco Sugar
Elemental,Aegis,armorer,8860,Marimo Akan
Elemental,Aegis,armorer,8516,Bakka Teroyake
Elemental,Aegis,armorer,8226,Lord El-melloi
Elemental,Aegis,armorer,8157,Mana Claves
Elemental,Aegis,armorer,7961,Emo Runa
Elemental,Aegis,armorer,7933,Koma Chang
Elemental,Aegis,armorer,7655,Man Hunt
Elemental,Aegis,armorer,7435,Sakurame Mea
Elemental,Aegis,armorer,7424,Gozen Lunch
Elemental,Aegis,armorer,7192,Spidewort Crown
Elemental,Aegis,armorer,7084,Calico Kitten
Elemental,Aegis,armorer,7062,Tan Popo
Elemental,Aegis,armorer,6909,Aventa Doll
Elemental,Aegis,armorer,6828,Raima Nonoa
Elemental,Aegis,armorer,6759,Ham Sakura
Elemental,Aegis,armorer,6720,Felty Elicshell
Elemental,Aegis,armorer,6701,Kinugoshi Dofu
Elemental,Aegis,armorer,6656,Kowloon Xu
Elemental,Aegis,armorer,6604,Oxgrand Bullmax
Elemental,Aegis,armorer,6603,Pofufu Pofu
Elemental,Aegis,armorer,6499,Krone Silvia
Elemental,Aegis,armorer,6031,Torotoro Salmon
Elemental,Aegis,armorer,6006,M'colon Rhuwa
Elemental,Aegis,armorer,5816,Waka April
Elemental,Aegis,armorer,5784,Shigure Amaashi
Elemental,Aegis,armorer,5759,Mine Laves
Elemental,Aegis,armorer,5680,Mona Dettabro
Elemental,Aegis,armorer,5591,Gouto Holly
Elemental,Aegis,armorer,5568,Schme Tterling
Elemental,Aegis,armorer,5543,Tomorrow N'k
Elemental,Aegis,armorer,5530,Magur'o Wasabi
Elemental,Aegis,armorer,5476,Ohayou San
Elemental,Aegis,armorer,5432,Shion Mcqueen
Elemental,Aegis,armorer,5426,Olivia Note
Elemental,Aegis,armorer,5247,Nezi Hephaistos
Elemental,Aegis,armorer,5178,Lathi Nightbreed
Elemental,Aegis,armorer,5160,Nywawa Fenq
Elemental,Aegis,armorer,5092,Yamato Miller
Elemental,Aegis,armorer,4981,Sumi Matsuno
Elemental,Aegis,armorer,4971,Akatuki Sion
Elemental,Aegis,armorer,4922,Pooh Thunderbolt
Elemental,Aegis,armorer,4819,Rui Mutsuki
Elemental,Aegis,armorer,4797,Dango Tameliolet
Elemental,Aegis,armorer,4754,Ayleth Stark
Elemental,Aegis,armorer,4696,Tessera Sera
Elemental,Aegis,armorer,4650,Ralf Steiner
Elemental,Aegis,armorer,4646,Sherry Ealdred
Elemental,Aegis,armorer,4554,Yue Takuan
Elemental,Aegis,armorer,4500,Nakuru Hawk
Elemental,Aegis,armorer,4468,Kurogane Tia
Elemental,Aegis,armorer,4394,Chili Red
Elemental,Aegis,goldsmith,717611,Akiti Ar
Elemental,Aegis,goldsmith,560420,Kan Sun
Elemental,Aegis,goldsmith,505821,Hey Bee
Elemental,Aegis,goldsmith,404948,Arianna Freya
Elemental,Aegis,goldsmith,336493,Als Wing
Elemental,Aegis,goldsmith,304225,Hyon Ex
Elemental,Aegis,goldsmith,240359,Hiro Joker
Elemental,Aegis,goldsmith,222306,Five Millimeter
Elemental,Aegis,goldsmith,221579,Chamalog Rei
Elemental,Aegis,goldsmith,217562,Quasar Arthur
Elemental,Aegis,goldsmith,209547,Mado Sd
Elemental,Aegis,goldsmith,204690,Tama Tomi
Elemental,Aegis,goldsmith,193287,Tukiko Amano
Elemental,Aegis,goldsmith,144233,Yuriko Saito
Elemental,Aegis,goldsmith,140749,Air Real
Elemental,Aegis,goldsmith,93646,Yu Minesima
Elemental,Aegis,goldsmith,84591,Merst Clover
Elemental,Aegis,goldsmith,65284,Gavial Noi
Elemental,Aegis,goldsmith,48233,Schwalt Wheeler
Elemental,Aegis,goldsmith,44459,Yoru Stark
Elemental,Aegis,goldsmith,37256,Morse Shepard
Elemental,Aegis,goldsmith,37084,Luthier Clarion
Elemental,Aegis,goldsmith,30080,Kvarfolian Trifolion
Elemental,Aegis,goldsmith,28913,Sentak Ita
Elemental,Aegis,goldsmith,28611,Issac Ex
Elemental,Aegis,goldsmith,27578,Fiona Animato
Elemental,Aegis,goldsmith,22702,Unagi Fry
Elemental,Aegis,goldsmith,21843,Tessera Sera
Elemental,Aegis,goldsmith,20886,Wascha Luminous
Elemental,Aegis,goldsmith,16713,Lexington Tatamaya
Elemental,Aegis,goldsmith,15430,Ran Legend
Elemental,Aegis,goldsmith,14816,Wao Miqotte
Elemental,Aegis,goldsmith,14416,Colo Colo
Elemental,Aegis,goldsmith,13532,Mel Enger
Elemental,Aegis,goldsmith,13232,Hitomi Majyo
Elemental,Aegis,goldsmith,13051,Neun Nine
Elemental,Aegis,goldsmith,12569,Majesty Zero
Elemental,Aegis,goldsmith,11082,Storoh Denman
Elemental,Aegis,goldsmith,10512,Tawachi Wizwiz
Elemental,Aegis,goldsmith,10372,Mairo Lin
Elemental,Aegis,goldsmith,9389,Fyidoaa Titan
Elemental,Aegis,goldsmith,9215,Chao Zoo
Elemental,Aegis,goldsmith,9048,Maha Agreian
Elemental,Aegis,goldsmith,9000,Oa Alba
Elemental,Aegis,goldsmith,8790,Jacksonbird Al'akir
Elemental,Aegis,goldsmith,8425,Ruruku Ruku
Elemental,Aegis,goldsmith,8021,Pink Fox
Elemental,Aegis,goldsmith,7790,Amalthea Imsheep
Elemental,Aegis,goldsmith,7631,Saki Bravery
Elemental,Aegis,goldsmith,7457,Alpha Le'coeur
Elemental,Aegis,goldsmith,7179,Licca Fancy
Elemental,Aegis,goldsmith,7058,Rui Mutsuki
Elemental,Aegis,goldsmith,6802,Mutsu Tukumo
Elemental,Aegis,goldsmith,6744,Yuri White
Elemental,Aegis,goldsmith,6667,Flower Mokuren
Elemental,Aegis,goldsmith,6553,Eruza Scarlet
Elemental,Aegis,goldsmith,6468,Mimi Kazeno
Elemental,Aegis,goldsmith,6431,Famiza Archangel
Elemental,Aegis,goldsmith,6293,Ai Kasa
Elemental,Aegis,goldsmith,5670,Murasaki Hime
Elemental,Aegis,goldsmith,5645,Jeph Durandal
Elemental,Aegis,goldsmith,5496,Shadow Glaive
Elemental,Aegis,goldsmith,5293,Mizuki Redfield
Elemental,Aegis,goldsmith,5088,Fon Kahiros
Elemental,Aegis,goldsmith,4991,Umyu Kamui
Elemental,Aegis,goldsmith,4883,Leona Rieveldt
Elemental,Aegis,goldsmith,4882,Sakuya Tachlbana
Elemental,Aegis,goldsmith,4873,Pon Caminel
Elemental,Aegis,goldsmith,4750,Yu Antares
Elemental,Aegis,goldsmith,4705,Noel Syuz
Elemental,Aegis,goldsmith,4697,Kazunorl Quarter
Elemental,Aegis,goldsmith,4582,Okome Wilder
Elemental,Aegis,goldsmith,4522,Lauren Una
Elemental,Aegis,goldsmith,4470,Arc Chere
Elemental,Aegis,goldsmith,4429,Kanon Beilschmidt
Elemental,Aegis,goldsmith,4348,Alice Grete
Elemental,Aegis,goldsmith,4309,Ashworth Xiv
Elemental,Aegis,goldsmith,4061,Kirimi Sakana
Elemental,Aegis,goldsmith,3987,Jasmine Tanaka
Elemental,Aegis,goldsmith,3780,Rud Coneflower
Elemental,Aegis,goldsmith,3597,Ama Chan
Elemental,Aegis,goldsmith,3589,Darupon Goat
Elemental,Aegis,goldsmith,3492,Jyuki Iruka
Elemental,Aegis,goldsmith,3445,Estea Etoile
Elemental,Aegis,goldsmith,3442,Remo Tea
Elemental,Aegis,goldsmith,3334,Zito Eye
Elemental,Aegis,goldsmith,3257,Enzotia Coia
Elemental,Aegis,goldsmith,3229,Chogyo Bigbridge
Elemental,Aegis,goldsmith,3210,Yam Yammy
Elemental,Aegis,goldsmith,3097,Kyouka Michelle
Elemental,Aegis,goldsmith,3077,L'ucia Amih
Elemental,Aegis,goldsmith,3045,Hoshi Don-
Elemental,Aegis,goldsmith,3028,Felix Amber
Elemental,Aegis,goldsmith,2996,Chess Cat
Elemental,Aegis,goldsmith,2979,Lemu Acell
Elemental,Aegis,goldsmith,2971,Lefty Noel
Elemental,Aegis,goldsmith,2970,Sera Raera
Elemental,Aegis,goldsmith,2932,Pon Dudu
